"campaign","sample_ID","date_time","weight_g","T_C","RH","Area_m2","Patm","Dry_weight","Fresh_weight"
"branch_vs_leaf_4","blup",20/10/20 11:28,3.309324,26.005,62.6275,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 11:32,3.362415,26.005,62.6275,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 11:36,3.256233,26.0325,62.8575,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 11:40,3.238536,26.0025,62.765,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 11:44,3.256233,25.9375,62.92,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 11:48,3.238536,25.9425,62.615,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 11:52,3.27393,25.9675,62.5725,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 11:56,3.27393,25.9525,62.5775,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:00,3.238536,25.99,62.595,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:04,3.256233,26.0125,62.6525,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:08,3.27393,25.9425,63.0225,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:12,3.238536,25.9325,63.075,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:16,3.238536,25.9975,62.855,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:20,3.256233,26.005,62.875,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:24,3.203142,25.985,62.9175,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:28,3.238536,25.98,62.8325,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:32,3.185445,26.03,62.895,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:36,3.238536,25.8575,63.0325,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:40,3.132355,25.825,63.12,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:44,3.203142,25.93,62.905,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:48,3.203142,25.91,62.8775,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:52,3.220839,25.905,62.835,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 12:56,3.167748,25.91,62.88,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 13:00,3.167748,25.9975,62.89,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 13:04,3.096961,26.0425,62.8325,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 13:08,3.203142,25.98,62.9075,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 13:12,3.220839,25.985,63.0825,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 13:16,3.185445,25.9475,63.115,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 13:20,3.203142,25.8325,63.0825,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 13:24,3.150051,25.955,62.97,0.0351,101.325,2.2,3.4
"branch_vs_leaf_4","blup",20/10/20 13:28,3.150051,25.8675,63.2725,0.0351,101.325,2.2,3.4
